customer_number,BAKERY,CASHPOINT,CONFECTIONARY,DAIRY,DELI,DISCOUNT_BAKERY,DRINKS,FROZEN,FRUIT_VEG,GROCERY_FOOD,GROCERY_HEALTH_PETS,LOTTERY,MEAT,NEWSPAPERS_MAGAZINES,PRACTICAL_ITEMS,PREPARED_MEALS,SEASONAL_GIFTING,SOFT_DRINKS,TOBACCO,WORLD_FOODS
4703,0.57,10.00,0.76,186.99,0.00,0.00,0.00,45.21,94.24,53.71,9.88,0.00,30.02,0.80,6.80,0.00,2.55,0.00,53.19,0.00
4709,4.50,0.00,17.04,19.21,0.00,0.00,0.00,7.09,26.20,11.61,2.80,0.00,16.96,0.00,0.00,34.96,0.00,5.58,7.59,0.00
4711,24.67,0.00,51.40,75.26,1.10,0.00,0.00,7.44,110.02,68.20,48.04,12.00,36.49,8.65,0.00,18.54,92.49,4.84,1571.27,27.39
4715,7.75,40.00,33.14,85.90,21.49,0.00,0.00,10.54,49.95,49.78,40.59,3.00,9.00,8.37,0.00,10.11,21.27,14.21,352.80,11.26
4724,4.03,0.00,17.42,48.85,0.00,0.00,0.00,9.86,11.78,27.61,7.97,0.00,25.28,0.00,0.00,3.48,4.08,4.76,7.77,1.88
4725,12.93,45.00,97.95,101.80,0.00,6.79,0.00,27.51,91.10,97.19,41.67,3.00,30.14,6.44,0.00,15.37,3.18,39.80,2.82,0.00
4726,20.71,0.00,75.81,101.61,5.49,2.60,0.00,15.00,81.13,79.72,98.10,0.00,46.78,3.25,0.00,80.43,0.00,7.38,0.00,10.43
4730,11.22,0.00,19.79,7.05,0.65,0.00,0.00,5.28,9.71,9.30,3.38,127.00,0.00,0.35,0.00,5.90,0.00,7.39,153.23,4.95
4740,110.27,0.00,56.22,359.92,20.15,0.00,0.00,108.79,54.02,46.35,4.59,0.00,46.75,13.30,0.00,11.91,0.00,99.13,0.00,185.45
4745,0.00,88.00,19.20,13.93,3.24,5.34,0.00,1.99,3.59,8.50,20.99,0.00,7.37,2.35,0.00,0.00,2.89,14.66,0.00,0.00
4749,0.00,260.00,52.42,35.61,0.00,0.00,110.73,3.19,14.45,10.83,24.87,0.00,0.00,6.77,2.20,18.03,0.00,6.62,0.00,0.00
4754,21.40,0.00,65.20,54.46,2.40,0.00,0.00,25.84,76.21,93.11,20.01,2.00,50.06,7.05,1.69,20.31,5.07,42.86,52.52,1.20
4757,0.00,0.00,59.25,507.64,14.19,0.00,22.86,0.00,97.49,29.04,4.25,0.00,9.16,1.05,0.00,15.51,5.42,2.24,0.00,0.00
4769,17.65,144.00,88.61,75.33,0.79,0.00,0.00,16.16,76.25,52.05,43.53,0.00,11.33,28.59,0.00,16.44,57.87,19.51,104.50,10.51
4770,21.42,5.00,117.93,53.43,7.66,0.00,0.00,1.99,55.86,12.55,43.56,0.00,79.13,0.00,0.67,25.50,1.69,18.37,38.81,0.89
4776,18.00,105.00,17.94,69.10,0.00,0.00,0.00,4.99,112.33,24.60,19.47,0.00,37.09,2.88,0.00,0.00,0.00,3.73,18.69,4.23
4781,12.57,415.00,32.81,26.85,0.00,0.00,0.00,4.73,12.79,7.74,15.96,1.00,26.96,16.37,0.00,7.00,1.69,6.34,132.62,0.00
4790,13.12,0.00,75.70,64.62,14.38,0.00,0.00,6.00,22.70,55.93,5.50,0.00,16.89,7.66,0.00,4.27,0.00,3.12,157.24,1.59
4794,6.37,40.00,64.07,40.70,5.59,0.00,0.00,10.15,66.28,57.77,6.65,0.00,11.42,2.33,3.97,15.71,9.08,20.18,3.38,1.78
4801,17.79,0.00,68.13,30.05,0.00,0.00,0.00,0.00,0.00,104.90,0.00,0.00,0.00,1.99,0.00,66.85,1.94,0.00,7.68,6.04
4804,48.21,0.00,205.51,131.87,10.49,0.00,0.00,38.64,43.10,57.96,22.21,94.00,41.62,80.87,1.06,13.11,2.68,18.51,71.32,0.00
4805,9.75,55.00,76.80,108.61,0.00,0.00,0.00,3.15,63.09,60.19,32.91,0.00,8.87,12.75,1.69,16.59,5.06,20.26,34.39,1.17
4806,12.99,0.00,34.20,21.30,0.00,0.00,0.00,0.00,2.02,2.14,14.24,4.00,10.00,1.90,1.69,0.69,0.00,0.33,17.67,21.36
4807,19.10,0.00,54.10,98.11,2.37,0.00,0.00,25.19,79.62,81.17,14.01,0.00,23.34,92.55,20.38,26.51,0.00,5.79,0.00,7.61
4810,25.51,0.00,172.04,49.35,8.81,0.00,0.00,48.28,29.29,26.40,39.48,1.00,7.06,0.42,0.67,23.79,0.00,7.31,3.98,24.27
4812,3.78,0.00,54.88,55.28,1.69,0.00,0.00,9.35,21.91,63.58,16.36,4.00,44.47,16.07,0.00,1.65,0.00,5.50,242.80,6.44
4833,1.02,0.00,20.92,57.99,0.00,0.00,0.00,18.46,32.10,265.85,6.46,2.00,17.35,0.00,0.00,7.09,0.00,8.39,3.99,4.76
4836,13.65,0.00,80.97,87.39,13.57,0.00,0.00,3.77,134.54,29.40,14.98,1.00,107.45,2.15,0.00,10.60,21.23,2.72,0.00,6.65
4848,17.32,0.00,71.73,78.84,9.64,0.00,0.00,0.00,39.93,31.68,17.16,0.00,16.98,0.55,0.00,1.35,0.00,10.16,168.95,0.49
4857,82.27,562.00,21.92,84.86,1.08,0.00,0.00,26.21,42.69,44.76,2.67,14.00,33.51,16.05,0.00,21.48,2.29,3.39,57.82,0.89
4861,19.11,0.00,55.69,57.03,13.21,0.00,0.00,6.00,25.78,33.62,18.72,0.00,8.84,3.04,0.00,0.80,0.00,0.00,4.13,0.00
4865,24.14,0.00,46.51,12.48,5.74,0.00,0.00,17.17,78.37,28.10,48.82,0.00,22.71,1.20,3.22,10.90,29.80,4.76,30.41,2.87
4869,15.78,580.00,65.07,60.12,11.80,0.00,0.00,3.72,17.43,10.07,28.80,0.00,3.99,6.35,0.00,2.25,0.00,2.96,54.44,17.47
4873,11.89,30.00,29.73,31.36,7.31,0.00,0.00,2.09,23.37,18.35,16.92,17.00,33.31,9.91,0.00,6.62,0.00,22.69,36.29,0.00
4875,5.00,40.00,71.60,68.69,49.28,0.00,0.00,3.24,77.13,25.54,34.10,5.00,1.74,8.82,0.00,4.16,7.65,3.13,27.64,19.70
4876,29.10,0.00,40.49,105.56,1.98,0.00,0.00,1.79,89.36,65.49,15.94,0.00,0.00,36.11,0.00,0.00,3.40,59.14,43.09,0.99
4880,38.03,120.79,245.56,85.37,0.00,0.00,0.00,20.66,135.28,61.76,13.13,0.00,7.99,2.30,0.00,50.07,4.38,7.39,73.20,7.17
4882,41.26,0.00,248.94,303.26,15.47,0.00,0.00,35.90,49.62,70.27,81.02,0.00,8.94,0.00,0.00,49.21,0.84,9.76,0.00,3.20
4895,13.61,0.00,118.22,110.60,10.52,0.00,0.00,6.72,69.45,115.34,34.79,7.50,44.00,0.00,0.00,10.24,0.00,9.83,63.99,0.00
4897,18.69,0.00,151.77,194.68,50.49,0.00,0.00,10.93,90.81,104.25,34.06,4.00,18.65,4.29,4.67,17.10,0.44,23.46,56.52,1.05
4900,36.46,40.00,96.29,166.32,0.00,0.00,0.00,15.56,69.37,77.16,38.60,1.00,77.62,6.85,0.00,64.71,0.00,47.46,18.51,22.08
4905,17.50,0.00,132.62,98.96,8.33,0.00,0.00,14.12,78.14,32.74,102.40,0.00,2.49,4.99,4.03,29.51,9.89,9.14,199.77,3.08
4917,16.09,30.00,60.07,126.58,10.05,0.00,0.00,3.06,112.98,64.56,127.52,49.00,48.56,3.50,0.00,7.11,0.00,1.22,31.39,2.08
4919,29.10,40.00,97.41,82.66,7.30,0.00,0.00,24.70,74.88,46.96,40.91,23.00,24.02,12.85,0.00,17.48,0.00,40.13,36.16,9.72
4922,6.88,0.00,22.67,15.72,47.59,0.00,0.00,26.05,28.84,5.64,1.00,0.00,0.95,2.11,0.00,0.00,17.02,3.88,1041.11,5.25
4924,86.77,0.00,65.90,117.91,5.36,0.00,0.00,5.79,102.16,25.98,21.42,4.00,100.71,28.13,3.56,5.26,0.00,91.72,29.87,71.21
4934,19.90,0.00,55.32,42.95,1.87,4.44,0.00,10.65,26.00,15.06,15.46,0.00,7.47,5.85,3.40,14.11,0.00,1.68,308.12,0.00
4941,34.21,0.00,61.35,42.39,3.35,0.00,0.00,22.30,33.57,33.34,13.87,0.00,40.52,2.38,0.00,28.86,0.00,17.58,20.78,19.77
4942,13.21,0.00,65.10,86.15,0.81,0.00,0.00,10.28,85.98,98.05,74.30,0.00,52.49,0.75,0.00,17.80,0.00,47.64,2884.30,3.76
4949,7.69,0.00,31.06,18.14,6.32,0.00,0.00,8.79,72.68,24.10,9.80,46.00,27.82,2.22,0.84,6.43,3.98,4.92,0.00,4.57
4970,25.63,0.00,65.92,50.21,3.01,0.00,0.00,20.90,26.74,23.84,25.52,0.00,30.96,2.35,0.00,13.23,1.01,45.45,0.00,0.00
4976,22.32,0.00,75.99,140.06,7.28,0.00,0.00,24.63,36.15,83.40,10.45,4.50,10.48,4.80,0.00,3.16,4.25,10.64,33.91,0.99
4978,8.49,0.00,105.44,141.84,15.25,0.00,0.00,17.94,144.86,155.95,48.78,0.00,70.32,5.52,1.52,26.79,0.00,8.15,0.00,8.47
4984,75.14,10.00,54.86,70.10,0.00,0.00,0.00,34.88,21.38,86.02,134.25,40.00,0.00,3.05,1.69,9.99,2.55,228.77,60.03,1.88
4993,15.64,0.00,47.53,64.30,5.99,0.00,0.00,6.22,37.32,69.91,11.53,18.00,29.70,7.48,2.55,19.57,2.12,68.37,30.51,7.22
4994,60.53,10.00,334.49,186.51,6.80,0.00,0.00,47.94,110.52,148.47,47.62,0.00,5.18,23.62,14.96,33.21,57.98,43.28,348.47,2.18
5006,1.24,0.00,34.73,19.70,0.00,0.00,0.00,4.07,8.70,22.99,33.17,0.00,8.19,2.98,0.00,0.65,8.52,2.96,149.66,18.57
5008,25.11,0.00,8.49,29.72,0.00,0.00,0.00,15.27,25.00,34.63,38.54,0.00,3.80,15.59,0.00,39.41,0.00,1.86,500.42,1.80
5009,28.58,36.00,128.61,67.75,0.00,0.00,0.00,31.94,31.32,90.46,104.89,27.00,1.79,7.55,0.00,27.29,0.00,57.41,0.00,2.60
5011,34.22,0.00,302.31,120.42,0.00,0.00,0.00,11.76,276.86,173.70,118.41,0.00,39.20,20.97,0.76,10.84,0.67,32.53,8.16,11.17
5013,15.14,502.00,110.01,40.92,0.00,0.00,0.00,7.36,32.75,6.89,12.66,17.00,26.58,3.41,0.00,18.08,0.84,24.70,4.18,11.63
5025,4.01,137.20,25.91,78.65,104.25,0.00,0.00,28.36,117.29,94.31,81.01,3.00,58.51,10.74,3.40,24.00,0.00,16.10,435.12,0.00
5029,15.20,438.00,21.38,74.54,6.18,0.00,0.00,0.00,45.05,25.99,2.55,0.00,0.00,1.00,2.34,3.20,0.00,7.01,0.00,6.63
5031,23.00,0.00,44.15,59.19,4.47,0.00,0.00,36.35,48.09,41.40,15.00,0.00,1.51,0.30,0.00,22.35,0.00,3.19,3.85,4.75
5036,10.54,0.00,79.04,283.50,0.00,0.00,0.00,4.19,147.26,234.00,29.29,4.00,60.95,4.24,0.00,30.09,11.32,42.61,612.15,3.66
5044,0.00,0.00,8.84,11.34,3.99,0.00,0.00,0.00,12.64,33.38,11.85,0.00,31.44,1.80,0.00,96.52,5.97,0.00,513.30,0.00
5050,2.18,0.00,45.07,18.75,9.92,0.00,0.00,36.33,19.59,49.75,19.39,0.00,0.00,1.50,1.27,5.15,0.00,4.16,4.26,0.00
5053,51.77,64.91,279.70,197.11,4.00,0.00,0.00,72.05,178.66,197.49,72.21,0.00,19.32,14.95,0.00,80.15,0.00,15.57,10.08,0.00
5055,7.88,0.00,15.30,58.37,0.00,0.00,0.00,14.80,15.55,34.78,40.44,0.00,9.60,0.84,0.00,0.00,0.84,0.00,71.60,2.18
5056,5.81,0.00,8.09,92.41,33.34,0.00,0.00,32.23,4.59,15.65,4.33,0.00,34.53,19.74,0.00,6.30,5.10,0.50,676.75,0.99
5057,93.94,140.00,82.88,102.35,4.68,0.00,0.00,80.53,173.70,299.81,32.62,0.00,143.47,53.23,0.00,57.08,10.19,5.96,202.49,7.02
5058,24.08,52.00,18.21,51.13,0.79,0.00,0.00,0.00,20.84,96.60,6.03,23.00,0.00,9.31,0.00,1.45,6.78,0.67,932.23,5.94
5060,39.76,0.00,146.05,112.16,63.89,0.00,0.00,4.89,164.31,65.95,94.28,0.00,95.45,38.56,10.83,72.34,17.13,11.98,0.00,68.82
5066,38.33,5.00,75.00,47.14,2.29,0.00,0.00,10.26,28.96,89.87,12.91,0.00,90.13,0.00,0.00,17.93,0.00,0.00,33.95,7.62
5076,16.67,65.00,127.99,118.50,0.75,0.00,0.00,36.19,128.40,111.18,22.91,143.00,7.35,8.41,0.00,9.91,7.92,14.25,2.73,2.04
5080,21.76,0.00,35.69,131.55,48.35,11.06,0.00,43.49,135.04,86.08,50.02,0.00,144.14,6.40,0.00,50.05,0.00,3.70,13.46,0.00
5081,3.17,0.00,21.61,32.64,7.18,0.00,0.00,2.48,6.96,6.98,25.41,0.00,2.50,1.13,0.00,4.38,0.00,0.84,4.42,0.00
5090,25.70,0.00,346.38,107.87,6.77,0.00,0.00,16.99,77.66,79.99,200.10,10.00,14.14,20.68,2.35,13.69,7.47,94.10,407.06,7.38
5091,23.97,0.00,35.55,171.90,0.00,0.00,0.00,104.58,325.61,508.37,125.62,0.00,43.24,0.35,27.16,0.00,0.00,12.33,5456.09,0.00
5092,14.62,20.00,31.74,146.22,3.60,0.00,0.00,12.99,7.89,251.19,126.48,7.00,3.08,0.43,3.38,20.93,0.00,21.96,0.00,4.56
5093,10.91,0.00,138.37,213.87,0.00,0.00,0.00,65.28,61.52,67.39,23.69,0.00,9.66,18.20,5.10,103.92,0.00,2.70,0.00,0.00
5104,4.82,10.00,39.68,96.70,2.50,0.00,0.00,19.58,3.73,22.90,46.23,0.00,0.00,0.00,0.00,3.78,3.40,3.40,55.27,0.89
5105,24.01,0.00,39.44,115.70,16.19,9.64,0.00,10.51,7.70,7.81,10.53,21.00,11.03,0.97,0.00,1.29,0.00,6.42,4.02,11.51
5107,12.00,130.00,212.04,73.36,0.00,0.00,0.00,23.70,31.81,8.19,17.92,0.00,23.86,14.04,0.00,5.52,7.88,84.16,251.52,3.35
5110,29.53,45.00,398.96,544.68,21.20,0.00,0.00,5.58,61.71,185.79,99.34,0.00,10.89,37.14,6.36,127.03,23.89,28.06,1642.08,0.00
5130,0.00,0.00,19.64,21.26,0.00,0.00,48.45,15.10,8.57,15.68,13.13,0.00,23.81,2.15,0.00,2.48,0.00,2.58,10.26,2.45
5134,27.51,75.00,54.00,107.56,0.00,0.00,25.50,35.56,86.59,97.65,28.75,21.00,69.20,7.64,0.00,61.83,0.00,6.97,7.05,3.17
5137,33.79,40.00,54.75,201.85,0.00,0.00,423.43,4.20,23.04,68.54,23.76,0.00,5.14,5.05,7.84,28.20,1.99,19.28,12.31,8.98
5146,7.22,10.00,8.04,30.16,0.00,0.00,251.93,0.21,3.24,8.00,0.00,0.00,17.45,5.91,0.00,3.48,0.00,1.38,107.75,0.00
5169,11.97,0.00,52.05,100.98,0.00,0.00,17.64,17.17,52.01,41.93,8.77,7.00,25.01,17.27,0.00,5.59,5.24,0.00,529.86,0.00
5170,6.43,0.00,33.76,27.71,0.00,0.00,6.82,15.45,44.59,96.21,8.08,0.00,14.26,5.90,0.00,2.15,2.99,6.16,3.25,0.00
5175,5.39,0.00,48.83,89.11,0.00,0.00,58.97,61.73,110.50,69.95,25.09,0.00,58.73,18.15,0.00,12.21,0.00,2.29,0.00,1.94
5179,11.63,30.00,100.15,87.21,0.00,0.00,75.48,24.80,74.17,114.69,47.81,1.00,30.58,6.20,0.00,40.41,47.06,19.78,4.98,1.87
5185,17.42,23.00,243.96,94.77,0.00,0.00,21.08,20.27,44.44,298.88,5.83,7.00,11.83,4.85,4.91,6.77,75.12,35.31,23.20,2.83
5189,138.16,180.00,211.91,203.44,0.00,0.00,9.36,107.28,132.04,300.74,65.84,10.00,254.67,28.96,0.00,102.89,4.35,12.91,185.61,0.00
5198,16.82,243.00,78.43,48.14,0.00,0.00,3.40,31.09,89.20,23.65,40.69,8.00,36.04,3.43,4.91,31.65,6.41,30.32,27.20,3.72
5204,22.05,10.00,104.33,58.83,0.00,0.00,56.13,3.95,78.16,56.14,15.60,0.00,20.58,6.95,0.00,25.93,0.00,0.00,43.94,4.84
5215,0.58,0.00,21.06,33.86,0.00,0.00,573.52,0.00,23.94,7.88,2.08,0.00,5.00,3.85,0.00,2.24,0.00,0.76,85.58,0.32
5233,29.05,0.00,100.96,291.19,20.95,0.00,0.00,18.90,141.32,150.28,23.56,0.00,77.53,6.20,3.40,6.50,3.40,14.33,4.18,15.37
5234,29.28,0.00,15.62,57.89,0.00,0.00,45.94,16.23,13.95,9.76,5.02,0.00,5.78,0.00,0.00,1.35,0.00,7.75,1.38,0.00
5240,22.21,0.00,44.89,118.18,0.00,0.00,13.95,43.36,175.62,52.15,19.03,0.00,61.79,3.75,0.00,163.48,0.00,1.22,3.71,7.44
5242,6.07,0.00,90.88,106.90,0.00,0.00,15.30,28.56,144.50,126.96,61.43,0.00,23.13,8.09,0.00,10.73,1.69,1.83,0.00,0.99
5246,3.50,0.00,33.29,25.26,0.00,0.00,105.78,9.70,25.20,14.63,13.70,1.00,1.99,4.20,0.00,9.88,0.00,13.39,93.75,0.19
5256,66.26,60.00,123.30,155.27,0.00,0.00,3.60,36.02,160.08,73.95,258.99,0.00,169.49,9.64,0.00,79.26,9.64,39.00,1573.55,10.40
5261,9.34,0.00,10.92,33.39,0.00,0.00,13.60,9.93,30.58,7.26,1.57,0.00,100.54,3.78,0.00,16.32,0.00,7.66,56.39,1.49
5264,6.15,40.00,5.50,11.28,0.00,0.00,150.32,7.91,7.87,20.81,1.35,0.00,38.43,3.00,2.77,2.09,0.00,3.19,36.95,1.19
5268,6.37,0.00,9.29,12.89,0.00,0.00,20.48,2.99,11.73,5.11,12.27,0.00,18.70,5.35,0.00,20.04,0.00,8.59,78.66,35.63
5275,4.51,27.00,35.49,36.82,0.00,0.00,9.77,31.59,16.28,24.19,29.04,0.00,2.38,0.33,4.24,4.83,0.00,3.07,42.57,3.02
5284,17.51,230.00,70.58,140.52,0.00,0.00,350.48,43.87,22.59,102.30,50.16,0.00,35.06,23.11,0.00,23.09,0.00,15.54,10.75,0.00
5290,16.22,84.00,140.13,79.16,0.00,0.00,9.35,29.42,18.55,65.17,34.94,1.00,70.64,23.88,0.00,8.76,2.55,4.10,4.09,42.73
5296,3.09,43.00,22.36,51.74,0.00,0.00,20.50,2.25,14.12,5.48,2.72,13.50,0.00,5.04,5.10,0.00,0.00,0.00,210.06,0.00
5310,35.93,10.00,74.22,72.54,0.00,0.00,24.36,4.38,12.76,14.14,4.39,0.00,3.99,1.05,0.00,7.35,0.00,3.84,246.00,0.00
5319,14.20,121.00,45.11,36.11,0.00,0.00,90.23,0.00,11.39,8.78,51.67,44.00,20.40,5.63,0.00,14.00,0.00,60.41,91.01,27.76
5320,8.43,0.00,6.22,39.02,0.00,0.00,389.87,7.65,19.65,18.42,8.51,262.50,19.59,3.00,0.00,2.30,30.57,5.16,237.85,1.40
5321,10.59,80.00,70.07,119.17,0.00,0.00,29.73,19.75,100.07,85.84,32.39,0.00,114.85,12.55,0.00,29.17,7.86,0.92,0.84,2.38
5328,23.80,0.00,74.67,44.94,0.00,0.00,19.63,45.72,109.32,113.13,20.03,0.00,50.29,27.55,3.40,11.38,0.00,7.10,832.52,0.28
5330,0.89,0.00,3.23,2.25,0.00,0.00,0.00,1.65,3.79,8.96,2.20,0.00,18.33,5.85,8.05,0.00,0.00,0.35,12.85,0.00
5331,31.97,0.00,144.17,129.17,0.00,0.00,0.00,10.52,57.93,81.97,68.28,0.00,13.37,7.99,8.32,30.17,3.96,43.71,77.06,0.00
5332,4.13,10.00,175.71,40.25,0.00,0.00,64.16,28.74,15.21,29.10,16.14,0.00,13.31,10.40,2.12,4.08,1.35,52.12,126.13,1.12
5339,5.17,0.00,5.09,20.92,0.00,0.00,37.97,2.64,5.76,9.32,4.75,10.00,15.37,6.39,0.00,1.55,5.08,5.73,77.45,0.00
5340,11.47,5.00,125.45,105.48,0.00,0.00,22.82,6.55,17.09,31.55,11.40,0.00,4.58,21.89,0.00,6.93,0.00,13.33,62.38,7.70
5345,10.96,54.00,76.88,46.25,0.00,0.00,14.77,9.24,8.91,5.81,12.24,0.00,0.75,0.00,0.00,3.70,0.00,0.49,10.10,14.24
5351,41.14,67.00,15.80,15.43,0.00,0.00,2.20,1.85,18.55,8.61,8.97,12.00,18.44,5.15,4.76,0.00,7.47,5.81,12.68,3.09
5356,0.95,55.00,73.66,34.86,0.00,0.00,0.00,2.09,5.79,36.07,2.52,0.00,0.00,5.01,4.48,2.98,0.84,2.64,6.21,0.00
5358,14.61,0.00,62.62,37.36,0.00,0.00,0.00,2.64,71.43,26.65,30.55,3.00,36.32,0.78,0.00,14.95,0.42,4.75,0.00,0.00
5360,9.86,0.00,56.58,125.04,0.00,0.00,66.38,79.22,61.93,174.00,57.94,0.00,79.04,6.80,0.00,23.10,16.09,9.85,339.93,1.09
5363,14.44,0.00,29.21,29.18,0.00,5.13,431.23,10.67,15.20,13.99,15.05,22.00,7.37,0.60,0.00,5.21,4.67,12.32,118.42,5.14
5364,14.07,40.00,100.66,199.62,0.00,0.00,20.49,42.58,104.23,63.71,36.89,0.00,46.57,14.95,0.84,11.28,8.54,7.55,8.16,31.50
5365,3.46,364.53,26.34,92.00,0.00,0.00,4.25,5.67,7.33,31.28,57.00,0.00,4.49,14.62,0.00,9.83,0.00,3.18,24.42,3.87
5373,10.69,0.00,49.40,12.15,0.00,0.00,18.24,16.38,33.12,18.73,2.20,0.00,4.18,0.00,0.00,1.18,0.00,2.70,76.04,7.20
5377,31.17,2.00,92.38,83.74,0.00,0.00,3.40,56.02,29.81,48.06,57.67,71.00,76.34,17.55,0.00,0.00,5.06,33.69,182.47,0.72
5378,46.62,196.00,316.68,289.22,0.00,0.00,1.27,72.11,165.74,155.25,31.65,0.00,90.76,27.15,0.00,38.60,2.55,91.91,7.91,18.70
5393,14.91,0.00,78.54,84.84,0.00,0.00,28.27,61.24,45.37,101.74,46.13,0.00,68.65,4.53,0.00,36.66,28.33,9.72,33.38,3.74
5399,27.89,160.00,40.08,40.83,0.00,0.00,23.99,15.04,47.05,30.71,18.81,0.00,2.09,2.84,0.00,4.97,0.00,1.00,62.20,0.89
5407,6.97,0.00,56.78,64.07,0.00,0.00,79.66,40.66,59.40,50.13,18.83,0.00,15.01,6.80,0.00,3.97,0.00,14.11,27.70,2.28
5426,19.23,0.00,85.06,228.41,0.00,0.00,94.70,13.56,363.09,158.65,50.33,3.00,20.10,46.16,4.92,20.22,18.54,4.11,4.11,4.05
5431,10.85,30.00,118.23,129.70,0.00,0.00,140.91,9.64,40.08,92.44,47.69,0.00,54.19,4.00,2.12,29.75,1.49,26.81,2.02,6.82
5440,3.55,0.00,19.97,45.12,0.00,0.00,15.96,2.99,18.81,4.53,5.46,0.00,4.11,9.31,0.00,25.82,2.09,0.00,4.57,0.79
5453,16.20,0.00,142.87,104.82,0.00,0.00,138.79,28.79,43.09,12.66,15.20,0.00,54.90,15.49,0.00,7.17,12.27,0.84,3.37,0.00
5455,19.90,0.00,33.29,64.37,0.00,0.00,108.92,11.53,78.57,51.84,34.00,0.00,21.20,3.05,0.00,15.10,3.01,2.60,52.51,4.54
5457,3.55,0.00,25.09,73.79,0.00,0.00,3.78,3.12,40.94,33.87,29.84,3.00,9.73,1.95,0.00,8.77,1.69,2.75,53.28,0.00
5460,13.83,10.00,48.23,136.63,0.00,0.00,339.93,60.67,53.79,104.47,27.05,0.00,66.72,15.56,0.84,58.88,7.25,93.54,118.66,0.00
5467,63.99,0.00,229.34,439.62,0.00,0.00,25.50,19.05,70.95,187.27,388.54,0.00,48.75,0.95,0.00,9.81,0.00,2.22,0.84,0.99
5470,13.42,160.00,116.57,169.70,0.00,0.00,39.93,9.61,122.76,51.82,14.83,125.00,15.55,19.39,0.00,12.10,2.70,14.28,24.32,1.12
5472,11.88,5.00,25.88,137.97,0.00,0.00,11.98,14.18,39.47,4.36,6.02,20.00,9.29,2.12,0.00,6.48,0.00,1.40,4.09,0.00
5485,11.29,0.00,9.89,79.25,0.00,0.00,2.43,13.17,15.53,12.86,9.28,0.00,1.00,2.46,14.00,50.02,1.18,1.86,284.78,0.00
5492,13.03,0.00,40.35,63.55,0.00,0.00,10.11,6.83,19.14,33.31,25.78,4.00,44.60,7.25,0.00,13.81,0.00,0.32,0.84,4.03
5498,43.98,0.00,129.94,85.33,0.00,0.00,0.00,13.81,160.89,185.15,142.52,0.00,23.00,1.40,0.00,7.51,2.83,33.45,326.16,44.03
5501,37.97,0.00,107.76,87.03,0.00,0.00,986.54,23.29,89.35,32.51,33.16,1.00,3.49,16.32,2.12,24.96,0.00,3.58,32.94,0.00
5502,14.55,20.00,77.09,82.69,0.00,0.00,390.26,36.60,36.91,74.59,5.08,0.00,4.00,2.18,0.00,3.38,0.00,4.46,61.49,0.00
5503,7.94,326.00,22.27,21.18,0.00,0.00,12.93,14.75,11.29,10.22,18.39,0.00,3.00,34.67,0.00,1.55,0.00,0.77,14.23,0.00
5510,14.56,0.00,64.29,49.33,0.00,5.88,49.66,11.70,96.73,25.70,83.44,0.00,11.98,21.90,0.00,1.99,1.68,24.97,26.47,0.00
5512,8.05,0.00,93.92,184.64,0.00,0.00,104.16,1.25,193.02,108.60,61.78,0.00,79.46,9.08,1.10,20.58,30.73,7.39,0.00,3.02
5518,4.82,0.00,30.63,14.94,0.00,0.00,140.32,1.69,23.94,29.85,9.41,0.00,0.00,32.05,0.00,5.48,0.84,10.06,251.48,13.88
5530,4.93,25.00,38.37,29.80,0.00,0.00,171.54,1.29,21.48,16.59,19.74,0.00,3.98,0.41,0.00,3.18,0.84,10.59,4.72,2.97
5533,14.65,0.00,17.72,29.77,0.00,0.00,49.22,22.53,12.30,56.36,14.98,0.00,1.25,0.80,0.00,7.62,0.00,15.96,36.76,0.85
5540,9.84,5.00,20.00,96.29,0.00,0.00,47.02,12.95,66.43,19.55,15.55,0.00,48.19,0.00,2.96,3.26,0.00,9.93,12.61,5.91
5542,12.28,0.00,45.72,57.04,0.00,0.00,2.55,18.46,72.39,42.28,17.56,0.00,49.54,0.00,2.11,52.69,8.08,2.64,2.36,0.00
5543,23.30,175.00,39.44,56.67,0.00,0.00,213.24,9.72,45.94,15.81,11.24,9.00,84.28,1.49,0.76,17.87,3.38,25.16,38.40,6.06
5544,24.34,0.00,40.81,80.32,0.00,0.00,159.76,3.38,10.67,37.93,35.99,2.00,13.18,1.95,5.10,0.00,0.00,21.67,128.25,0.00
5550,5.80,10.00,17.69,49.62,0.00,0.00,112.20,13.68,31.95,99.83,293.02,8.00,11.78,7.12,0.00,0.99,0.00,1.01,0.00,0.00
5553,26.18,0.00,68.02,52.36,0.00,0.00,28.08,34.49,89.93,87.22,34.10,0.00,32.29,1.10,0.00,13.21,0.00,6.55,48.00,16.36
5556,1.67,0.00,24.45,103.79,0.00,0.00,0.00,29.69,8.03,54.30,8.96,0.00,12.75,0.00,0.00,8.14,0.00,2.12,8.55,0.93
5557,9.09,0.00,32.44,70.21,0.00,0.00,0.00,4.64,146.47,30.85,0.84,5.00,19.82,3.65,0.00,0.99,6.10,3.05,0.00,4.76
5558,4.09,0.00,17.62,30.17,0.00,0.00,12.58,3.98,57.90,15.29,0.47,3.00,22.04,23.58,0.00,13.14,1.69,20.44,109.85,0.00
5561,29.30,10.00,36.07,87.30,0.00,0.00,4.86,15.85,7.75,27.15,31.83,12.00,0.00,27.92,0.00,12.37,0.76,3.81,119.62,1.09
